id,date,party,sentiment
DE-0190001007,2017-10-24,DIE LINKE,negative
DE-0190001008,2017-10-24,CDU/CSU,neutral
DE-0190001010,2017-10-24,BÜNDNIS 90/DIE GRÜNEN,negative
DE-0190002005,2017-11-21,CDU/CSU,neutral
DE-0190002015,2017-11-21,AfD,neutral
DE-0190002018,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,neutral
DE-0190002019,2017-11-21,CDU/CSU,neutral
DE-0190002026,2017-11-21,AfD,neutral
DE-0190002027,2017-11-21,FDP,neutral
DE-0190002028,2017-11-21,DIE LINKE,negative
DE-0190002029,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,negative
DE-0190002033,2017-11-21,DIE LINKE,neutral
DE-0190002036,2017-11-21,FDP,neutral
DE-0190002037,2017-11-21,DIE LINKE,neutral
DE-0190002038,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,neutral
DE-0190002043,2017-11-21,SPD,neutral
DE-0190002045,2017-11-21,FDP,neutral
DE-0190002046,2017-11-21,DIE LINKE,negative
DE-0190002047,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,negative
DE-0190002053,2017-11-21,SPD,negative
DE-0190002054,2017-11-21,AfD,negative
DE-0190002055,2017-11-21,FDP,neutral
DE-0190002056,2017-11-21,DIE LINKE,neutral
DE-0190002062,2017-11-21,SPD,neutral
DE-0190002063,2017-11-21,CDU/CSU,neutral
DE-0190002065,2017-11-21,FDP,neutral
DE-0190002066,2017-11-21,DIE LINKE,neutral
DE-0190002068,2017-11-21,CDU/CSU,neutral
DE-0190002072,2017-11-21,SPD,neutral
DE-0190002073,2017-11-21,CDU/CSU,neutral
DE-0190002077,2017-11-21,SPD,neutral
DE-0190002078,2017-11-21,AfD,neutral
DE-0190002079,2017-11-21,FDP,neutral
DE-0190002081,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,neutral
DE-0190002086,2017-11-21,CDU/CSU,neutral
DE-0190002089,2017-11-21,DIE LINKE,neutral
DE-0190002091,2017-11-21,CDU/CSU,neutral
DE-0190002095,2017-11-21,CDU/CSU,neutral
DE-0190002097,2017-11-21,FDP,neutral
DE-0190002102,2017-11-21,CDU/CSU,negative
